Protein	Accession	Accession.id
Q8X7C9	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X7F2	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X7H3	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X7H4	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X7L9	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X7M9	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X7N4	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X7N8	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X7P7	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X7T4	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X7V5	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X7X0	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
